%frequency	 %AdV2017-WB	 %AdV2019-WB
   2.9319443e+01   1.8088424e-23   1.9072514e-23
   2.9387054e+01   1.7968214e-23   1.8944911e-23
   2.9454821e+01   1.7849300e-23   1.8818566e-23
   2.9522744e+01   1.7731670e-23   1.8693466e-23
   2.9590824e+01   1.7615311e-23   1.8569600e-23
   2.9659060e+01   1.7500211e-23   1.8446956e-23
   2.9727454e+01   1.7386360e-23   1.8325522e-23
   2.9796006e+01   1.7273743e-23   1.8205287e-23
   2.9864716e+01   1.7162351e-23   1.8086240e-23
   2.9933584e+01   1.7052170e-23   1.7968368e-23
   3.0002611e+01   1.6943190e-23   1.7851660e-23
   3.0071797e+01   1.6835400e-23   1.7736107e-23
   3.0141143e+01   1.6728787e-23   1.7621695e-23
   3.0210649e+01   1.6623341e-23   1.7508415e-23
   3.0280315e+01   1.6519050e-23   1.7396256e-23
   3.0350142e+01   1.6415903e-23   1.7285206e-23
   3.0420129e+01   1.6313890e-23   1.7175255e-23
   3.0490278e+01   1.6212999e-23   1.7066393e-23
   3.0560589e+01   1.6113219e-23   1.6958610e-23
   3.0631062e+01   1.6014540e-23   1.6851893e-23
   3.0701697e+01   1.5916952e-23   1.6746235e-23
   3.0772496e+01   1.5820442e-23   1.6641623e-23
   3.0843457e+01   1.5725002e-23   1.6538049e-23
   3.0914583e+01   1.5630620e-23   1.6435501e-23
   3.0985872e+01   1.5537287e-23   1.6333971e-23
   3.1057326e+01   1.5444991e-23   1.6233448e-23
   3.1128944e+01   1.5353723e-23   1.6133923e-23
